Lesson,Elements of Science and Engineering Practice(s),Rationale
1,"Ask questions that arise from careful observation of phenomena, models, or unexpected results, to clarify and/or seek additional information.","This lesson supports students in asking questions that can be used to investigate a phenomenon. Students first observe the mirror-window in the context of the video and then investigate it further using a scale model (i.e., box model) that represents important parts of the system in the video. They craft questions about the phenomenon while focusing on different parts and interactions within the system that they believe are important for explaining the phenomenon. Students group their questions into clusters and brainstorm different kinds of investigations to conduct to answer their questions."
1,Develop and/or use a model to predict and/or describe phenomena.,"Students develop models to represent what they think is happening as parts of the system interact, leading to the phenomenon. They use a scale model that represents important components of the system in the video to provide additional 
observations of the phenomenon and test their ideas for explaining those observations. They also develop diagrammatic models to represent their thinking about the phenomenon. In doing so, students learn that models can be used to describe and explain a phenomenon."
2,"Ask questions that can be investigated within the scope of the classroom, outdoor environment, and museums and other public facilities with available resources and, when appropriate, frame a hypothesis based on observations and scientific principles.","On day 1, students return to the DQB/consensus model and discuss which questions they can investigate in the classroom about the effects of changing the light in the box model. They frame a hypothesis for what they think will happen, based on observations from Lesson 1, and then investigate their questions by swapping the light to the other side of the model."
2,Develop or modify a model—based on evidence—to match what happens if a variable or component of a system is changed.,"On day 2, students modify a model, based on evidence, to match what happens if a variable or component of a system (i.e., light) is changed. They consider the DQB/consensus model from Lesson 1 and then model what they think is happening when they test different lighting scenarios."
3,"Ask questions to determine relationships between independent and dependent variables and 
relationships in models.","In this lesson, students develop a testable question to determine how the materials that make up a one way mirror, glass, and a regular mirror (independent 
variable) influence the amount of light that transmits through and reflects off (dependent variable) an object. They then use that question to plan an investigation, including the independent variable, dependent variable, and constants. After collecting and analyzing class data, students work together to create a consensus model that describes what is happening when light shines on each material."
,,
,,
Lesson,Elements of Science and Engineering Practice(s),Rationale
3,"Develop and/or use a model to generate data to test ideas about phenomena in natural or designed systems, including those representing inputs and outputs, and those at unobservable scales.","Students conduct two investigations in this lesson. In the first investigation, they observe what happens when light shines on a one-way mirror, glass, and a regular mirror. They observe that light reflects off all three materials but only two materials transmit light. They develop an initial model to describe what they observed, which motivates the need to measure the amount of light that transmits through and reflects off each material. Students develop an experimental question, plan a second investigation, and use light meters to measure the amount of light reflected and transmitted by the three materials. After analyzing class data, students revise the consensus model to more accurately describe what happens when light shines on each material."
4,Develop a model to describe unobservable mechanisms.,"Students investigate microscale structures of a one way mirror. These microscale structures cause light to transmit and reflect differently from regular glass and mirrors. Students use the structures of a one way mirror to generate ideas about unobservable mechanisms that help to explain observations they have made of materials, both qualitatively and quantitatively."
